location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
95,"Amsterdam-Vondelpark","co",0.4155,"µg/m³","2021-01-03T05:00:00Z","2021-01-03T06:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.4157,"µg/m³","2021-01-03T06:00:00Z","2021-01-03T07:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",-999,"µg/m³","2021-01-03T07:00:00Z","2021-01-03T08:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.4391,"µg/m³","2021-01-03T08:00:00Z","2021-01-03T09:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.451,"µg/m³","2021-01-03T09:00:00Z","2021-01-03T10:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.4357,"µg/m³","2021-01-03T10:00:00Z","2021-01-03T11:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.4072,"µg/m³","2021-01-03T11:00:00Z","2021-01-03T12:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.4094,"µg/m³","2021-01-03T12:00:00Z","2021-01-03T13:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",0.4201,"µg/m³","2021-01-03T13:00:00Z","2021-01-03T14:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
95,"Amsterdam-Vondelpark","co",-999,"µg/m³","2021-01-03T14:00:00Z","2021-01-03T15:00:00+01:00","Europe/Amsterdam",52.359714000013874,4.866208000411839,,,,"Unknown Governmental Organization","EEA"
