location,parameter,value,date,unit,coordinates,country,city
FR04012,pm10,28.3,"{'utc': '2021-04-30T01:00:00+00:00', 'local': '2021-04-30T03:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,30.5,"{'utc': '2021-05-31T05:00:00+00:00', 'local': '2021-05-31T07:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,11.6,"{'utc': '2021-06-29T15:00:00+00:00', 'local': '2021-06-29T17:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,17.8,"{'utc': '2021-07-25T05:00:00+00:00', 'local': '2021-07-25T07:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,27.9,"{'utc': '2021-08-31T22:00:00+00:00', 'local': '2021-09-01T00:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,24.7,"{'utc': '2021-09-30T23:00:00+00:00', 'local': '2021-10-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,9.4,"{'utc': '2021-10-31T05:00:00+00:00', 'local': '2021-10-31T06:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,16.4,"{'utc': '2021-11-30T23:00:00+00:00', 'local': '2021-12-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,30.7,"{'utc': '2021-12-31T23:00:00+00:00', 'local': '2022-01-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,31.9,"{'utc': '2022-01-31T19:00:00+00:00', 'local': '2022-01-31T20:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,40.2,"{'utc': '2022-02-28T23:00:00+00:00', 'local': '2022-03-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,14.7,"{'utc': '2022-03-31T23:00:00+00:00', 'local': '2022-04-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,18.0,"{'utc': '2022-04-30T23:00:00+00:00', 'local': '2022-05-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,19.3,"{'utc': '2022-05-31T23:00:00+00:00', 'local': '2022-06-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,15.7,"{'utc': '2022-06-30T23:00:00+00:00', 'local': '2022-07-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,13.1,"{'utc': '2022-07-31T23:00:00+00:00', 'local': '2022-08-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,29.8,"{'utc': '2022-08-31T23:00:00+00:00', 'local': '2022-09-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,17.3,"{'utc': '2022-09-30T23:00:00+00:00', 'local': '2022-10-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,48.8,"{'utc': '2022-10-28T18:00:00+00:00', 'local': '2022-10-28T20:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,37.2,"{'utc': '2022-11-30T23:00:00+00:00', 'local': '2022-12-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,15.1,"{'utc': '2022-12-31T23:00:00+00:00', 'local': '2023-01-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,17.1,"{'utc': '2023-01-31T23:00:00+00:00', 'local': '2023-02-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,62.0,"{'utc': '2023-02-16T00:00:00+00:00', 'local': '2023-02-16T01:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,13.2,"{'utc': '2023-03-31T23:00:00+00:00', 'local': '2023-04-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,30.4,"{'utc': '2023-04-30T23:00:00+00:00', 'local': '2023-05-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,34.0,"{'utc': '2023-05-31T23:00:00+00:00', 'local': '2023-06-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,36.5,"{'utc': '2023-06-14T02:00:00+00:00', 'local': '2023-06-14T04:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,12.0,"{'utc': '2023-08-31T23:00:00+00:00', 'local': '2023-09-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,30.3,"{'utc': '2023-09-30T23:00:00+00:00', 'local': '2023-10-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,15.3,"{'utc': '2023-10-31T23:00:00+00:00', 'local': '2023-11-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,25.2,"{'utc': '2023-11-30T23:00:00+00:00', 'local': '2023-12-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,pm10,18.6,"{'utc': '2023-12-31T23:00:00+00:00', 'local': '2024-01-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
Amsterdam-Hoogtij,so2,0.3,"{'utc': '2021-02-27T03:00:00+00:00', 'local': '2021-02-27T04:00:00+01:00'}",µg/m³,"{'latitude': 52.42801700027339, 'longitude': 4.7734780002434976}",NL,
Amsterdam-Hoogtij,so2,-0.4,"{'utc': '2021-04-30T04:00:00+00:00', 'local': '2021-04-30T06:00:00+02:00'}",µg/m³,"{'latitude': 52.42801700027339, 'longitude': 4.7734780002434976}",NL,
Amsterdam-Hoogtij,so2,-0.2,"{'utc': '2021-05-31T14:00:00+00:00', 'local': '2021-05-31T16:00:00+02:00'}",µg/m³,"{'latitude': 52.42801700027339, 'longitude': 4.7734780002434976}",NL,
Amsterdam-Hoogtij,so2,-0.1,"{'utc': '2021-06-30T21:00:00+00:00', 'local': '2021-06-30T23:00:00+02:00'}",µg/m³,"{'latitude': 52.42801700027339, 'longitude': 4.7734780002434976}",NL,
Amsterdam-Hoogtij,so2,0.0,"{'utc': '2021-07-25T03:00:00+00:00', 'local': '2021-07-25T05:00:00+02:00'}",µg/m³,"{'latitude': 52.42801700027339, 'longitude': 4.7734780002434976}",NL,
Amsterdam-Hoogtij,so2,-0.2,"{'utc': '2021-08-31T23:00:00+00:00', 'local': '2021-09-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.42801700027339, 'longitude': 4.7734780002434976}",NL,
Amsterdam-Hoogtij,so2,0.3,"{'utc': '2021-12-31T23:00:00+00:00', 'local': '2022-01-01T00:00:00+01:00'}",µg/m³,"{'latitude': 52.42801700027339, 'longitude': 4.7734780002434976}",NL,
Amsterdam-Hoogtij,so2,-0.2,"{'utc': '2023-01-31T23:00:00+00:00', 'local': '2023-02-01T00:00:00+01:00'}",µg/m³,"{'latitude': 52.42801700027339, 'longitude': 4.7734780002434976}",NL,
Amsterdam-Hoogtij,so2,0.0,"{'utc': '2023-02-28T03:00:00+00:00', 'local': '2023-02-28T04:00:00+01:00'}",µg/m³,"{'latitude': 52.42801700027339, 'longitude': 4.7734780002434976}",NL,
Amsterdam-Hoogtij,so2,0.6,"{'utc': '2023-03-31T23:00:00+00:00', 'local': '2023-04-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.42801700027339, 'longitude': 4.7734780002434976}",NL,
Amsterdam-Hoogtij,so2,1.8,"{'utc': '2023-04-30T23:00:00+00:00', 'local': '2023-05-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.42801700027339, 'longitude': 4.7734780002434976}",NL,
Amsterdam-Hoogtij,so2,0.0,"{'utc': '2023-05-31T23:00:00+00:00', 'local': '2023-06-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.42801700027339, 'longitude': 4.7734780002434976}",NL,
Amsterdam-Hoogtij,so2,0.1,"{'utc': '2023-06-30T22:00:00+00:00', 'local': '2023-07-01T00:00:00+02:00'}",µg/m³,"{'latitude': 52.42801700027339, 'longitude': 4.7734780002434976}",NL,
