location,parameter,value,date,unit,coordinates,country,city
Amsterdam-Vondelpark,co,0.3278,"{'utc': '2021-05-31T14:00:00+00:00', 'local': '2021-05-31T16:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,co,0.4307,"{'utc': '2021-06-30T21:00:00+00:00', 'local': '2021-06-30T23:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,co,0.3933,"{'utc': '2021-07-25T03:00:00+00:00', 'local': '2021-07-25T05:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,co,0.3311,"{'utc': '2021-08-31T23:00:00+00:00', 'local': '2021-09-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,co,0.3274,"{'utc': '2021-12-31T23:00:00+00:00', 'local': '2022-01-01T00:00:00+01:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,co,0.2184,"{'utc': '2022-05-31T23:00:00+00:00', 'local': '2022-06-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,co,0.0806,"{'utc': '2023-01-31T23:00:00+00:00', 'local': '2023-02-01T00:00:00+01:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,co,0.2414,"{'utc': '2023-02-28T03:00:00+00:00', 'local': '2023-02-28T04:00:00+01:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,co,0.2883,"{'utc': '2023-03-31T23:00:00+00:00', 'local': '2023-04-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,co,0.2993,"{'utc': '2023-04-30T23:00:00+00:00', 'local': '2023-05-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,co,0.2623,"{'utc': '2023-05-31T23:00:00+00:00', 'local': '2023-06-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,co,0.303,"{'utc': '2023-06-30T22:00:00+00:00', 'local': '2023-07-01T00:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,co,0.5155,"{'utc': '2023-08-31T23:00:00+00:00', 'local': '2023-09-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,co,0.3921,"{'utc': '2023-09-30T23:00:00+00:00', 'local': '2023-10-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
FR04012,co,531.0,"{'utc': '2021-01-04T13:00:00+00:00', 'local': '2021-01-04T14:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
Amsterdam-Vondelpark,no,0.9,"{'utc': '2022-10-31T17:00:00+00:00', 'local': '2022-10-31T18:00:00+01:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no,5.2,"{'utc': '2022-11-30T21:00:00+00:00', 'local': '2022-11-30T22:00:00+01:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no,-0.5,"{'utc': '2022-12-31T17:00:00+00:00', 'local': '2022-12-31T18:00:00+01:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no,-0.2,"{'utc': '2023-01-31T17:00:00+00:00', 'local': '2023-01-31T18:00:00+01:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no,-0.1,"{'utc': '2023-02-28T03:00:00+00:00', 'local': '2023-02-28T04:00:00+01:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no,-0.7,"{'utc': '2023-03-31T23:00:00+00:00', 'local': '2023-04-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no,-0.4,"{'utc': '2023-04-30T23:00:00+00:00', 'local': '2023-05-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no,-0.5,"{'utc': '2023-05-31T23:00:00+00:00', 'local': '2023-06-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no,-0.6,"{'utc': '2023-06-30T22:00:00+00:00', 'local': '2023-07-01T00:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no,-0.8,"{'utc': '2023-07-31T23:00:00+00:00', 'local': '2023-08-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no,-0.5,"{'utc': '2023-08-31T23:00:00+00:00', 'local': '2023-09-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
Amsterdam-Vondelpark,no,-0.5,"{'utc': '2023-09-30T23:00:00+00:00', 'local': '2023-10-01T01:00:00+02:00'}",µg/m³,"{'latitude': 52.359714000013874, 'longitude': 4.866208000411839}",NL,
FR04012,no,8.3,"{'utc': '2023-03-31T23:00:00+00:00', 'local': '2023-04-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no,48.8,"{'utc': '2023-04-30T23:00:00+00:00', 'local': '2023-05-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no,9.9,"{'utc': '2023-05-31T23:00:00+00:00', 'local': '2023-06-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no,12.6,"{'utc': '2023-06-14T03:00:00+00:00', 'local': '2023-06-14T05:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no,29.1,"{'utc': '2023-08-31T23:00:00+00:00', 'local': '2023-09-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no,62.1,"{'utc': '2023-09-30T23:00:00+00:00', 'local': '2023-10-01T01:00:00+02:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no,30.9,"{'utc': '2023-10-31T23:00:00+00:00', 'local': '2023-11-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no,29.5,"{'utc': '2023-11-30T23:00:00+00:00', 'local': '2023-12-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
FR04012,no,29.8,"{'utc': '2023-12-31T23:00:00+00:00', 'local': '2024-01-01T00:00:00+01:00'}",µg/m³,"{'latitude': 48.8277822163547, 'longitude': 2.32749896854232}",FR,
